pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23640619|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410347|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23640627|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410361|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640627|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410361|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|SI|200410||200410|3|0|36668.7|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|NO|211438||211438|1|0|1929.07|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|SI|211829||211829|1|0|43582.32|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|NO|215887||215887|1|0|1134.85|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||CON|NO||A06U||1|0|54805.84|
23647351|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|085113000004690103|U|ENEPRE||MET||CON|NO||A13U||1|0|150694.38|
23647778|SUR-ENE|MET|05|Medellín|CW352017|5|ALEGA|02-FEB-26|055224203000580602|U|||MET||SUM|NO|219404A||219404A|1|0|400|
